,title,rating,run time,year,genre,Director,Score
272,Spider-Man: Homecoming,PG-13,2H:13M,2017,Action,Jon Watts,7.4
273,Nightmare Alley,R,2H:30M,2021,Crime,Guillermo del Toro,7.4
274,How the Grinch Stole Christmas,PG,1H:44M,2000,Comedy,Ron Howard,6.2
275,Elf,PG,1H:37M,2003,Adventure,Jon Favreau,7.0
276,Dune,PG-13,2H:35M,2021,Action,Denis Villeneuve,8.2
278,The Amazing Spider-Man,PG-13,2H:16M,2012,Action,Marc Webb,6.9
279,White Christmas,Not Rated,2H:0M,1954,Comedy,Michael Curtiz,7.6
280,No Time to Die,PG-13,2H:43M,2021,Action,Cary Joji Fukunaga,7.4
281,Spider-Man: Far from Home,PG-13,2H:9M,2019,Action,Jon Watts,7.4
282,Sing 2,PG,1H:50M,2021,Animation,Garth Jennings,7.6
283,The Last Duel,R,2H:32M,2021,Action,Ridley Scott,7.5
284,The Matrix Reloaded,R,2H:18M,2003,Action,Lana Wachowski,7.2
285,A Boy Called Christmas,PG,1H:46M,2021,Adventure,Gil Kenan,6.7
286,A Christmas Story,PG,1H:33M,1983,Comedy,Bob Clark,7.9
287,The French Dispatch,R,1H:47M,2021,Comedy,Wes Anderson,7.4
288,The Amazing Spider-Man 2,PG-13,2H:22M,2014,Action,Marc Webb,6.6
289,Venom: Let There Be Carnage,PG-13,1H:37M,2021,Action,Andy Serkis,6.0
290,House of Gucci,R,2H:38M,2021,Crime,Ridley Scott,6.9
291,The Matrix Revolutions,R,2H:9M,2003,Action,Lana Wachowski,6.8
292,Spider-Man 3,PG-13,2H:19M,2007,Action,Sam Raimi,6.2
293,Spider-Man 2,PG-13,2H:7M,2004,Action,Sam Raimi,7.3
294,The Santa Clause,PG,1H:37M,1994,Comedy,John Pasquin,6.5
295,'83,Not Rated,2H:42M,2021,Biography,Sumit Arora,7.3
296,"tick, tick...BOOM!",PG-13,1H:55M,2021,Biography,Lin-Manuel Miranda,7.6
297,Shang-Chi and the Legend of the Ten Rings,PG-13,2H:12M,2021,Action,Destin Daniel Cretton,7.5
298,Home Alone 2: Lost in New York,PG,2H:0M,1992,Adventure,Chris Columbus,6.8
299,Swan Song,R,1H:52M,2021,Drama,Benjamin Cleary,6.8
